time,db,mem,slot,peers
1601464266,0,-9,-9,-9
1601464267,0,-9,-9,-9
1601464268,0,-9,-9,-9
1601464269,0,-9,-9,-9
1601464270,0,-9,-9,-9
1601464271,0,-9,-9,-9
1601464272,0,-9,-9,-9
1601464273,0,-9,-9,-9
1601464274,0,-9,-9,-9
1601464275,0,-9,-9,-9
1601464276,0,-9,-9,-9
1601464277,0,-9,-9,-9
1601464278,0,-9,-9,-9
1601464279,0,-9,-9,-9
1601464280,0,-9,-9,-9
1601464281,0,-9,-9,-9
1601464282,0,-9,-9,-9
1601464283,0,-9,-9,-9
1601464284,0,-9,-9,-9
1601464285,0,-9,-9,-9
1601464286,0,-9,-9,-9
1601464287,0,-9,-9,-9
1601464288,0,-9,-9,-9
1601464289,0,-9,-9,-9
1601464290,0,-9,-9,-9
1601464291,0,-9,-9,-9
1601464292,0,-9,-9,-9
1601464293,0,-9,-9,-9
1601464294,0,-9,-9,-9
1601464295,0,-9,-9,-9
1601464296,0,-9,-9,-9
1601464297,0,-9,-9,-9
1601464298,0,-9,-9,-9
1601464299,0,-9,-9,-9
1601464300,0,-9,-9,-9
1601464301,0,-9,-9,-9
1601464302,0,-9,-9,-9
1601464303,0,-9,-9,-9
1601464304,0,-9,-9,-9
1601464305,0,-9,-9,-9
1601464306,0,-9,-9,-9
1601464307,0,-9,-9,-9
1601464308,0,-9,-9,-9
1601464309,0,-9,-9,-9
1601464310,0,-9,-9,-9
1601464311,0,-9,-9,-9
1601464312,0,-9,-9,-9
1601464313,0,-9,-9,-9
1601464314,0,-9,-9,-9
1601464315,0,-9,-9,-9
1601464316,0,-9,-9,-9
1601464317,0,-9,-9,-9
1601464318,0,-9,-9,-9
1601464319,0,-9,-9,-9
1601464320,0,-9,-9,-9
1601464321,0,-9,-9,-9
1601464322,0,-9,-9,-9
1601464323,0,-9,-9,-9
1601464324,0,-9,-9,-9
1601464325,0,-9,-9,-9
1601464326,0,-9,-9,-9
1601464328,0,-9,-9,-9
1601464329,0,-9,-9,-9
1601464330,0,-9,-9,-9
1601464331,0,-9,-9,-9
1601464332,0,-9,-9,-9
1601464333,0,-9,-9,-9
1601464334,0,-9,-9,-9
1601464335,0,414547968,-9,-9
1601464336,0,922017792,-9,-9
1601464337,0,1175719936,-9,-9
1601464338,0,1247752192,0,0
1601464339,0,1248063488,0,0
1601464340,0,1263030272,0,0
1601464341,0,1420021760,0,0
1601464342,0,1637445632,0,0
1601464343,0,2067042304,0,0
1601464344,0,2072338432,0,0
1601464345,0,2076811264,0,0
1601464346,0,2080063488,0,0
1601464347,0,2006786048,0,0
1601464348,0,2014875648,0,0
1601464349,0,2021654528,0,0
1601464351,0,2030084096,0,0
1601464352,0,2038341632,0,0
1601464353,0,2055233536,0,0
1601464354,0,2058911744,0,0
1601464355,0,2059968512,0,0
1601464356,0,2060910592,0,0
1601464357,0,2061324288,0,0
1601464358,0,2075885568,0,0
1601464359,0,2076868608,0,0
1601464360,0,2163916800,0,0
1601464361,0,2329985024,0,0
1601464362,0,2375004160,0,0
1601464363,0,2380480512,0,0
1601464364,0,2384826368,0,0
1601464365,0,2387623936,0,0
1601464366,0,2388180992,0,0
1601464367,0,2390638592,0,0
1601464368,0,2213732352,4,5
1601464369,0,2249818112,4,13
1601464370,0,2308644864,4,12
1601464372,0,2611793920,4,12
1601464373,0,2620997632,4,13
1601464374,0,2635268096,4,13
1601464375,0,2650324992,4,13
1601464376,0,2657689600,4,13
1601464377,0,2663399424,95,12
1601464378,0,2690383872,95,12
1601464379,0,2697302016,95,12
1601464380,0,2699427840,95,12
1601464381,0,2708508672,95,12
1601464382,0,2682945536,95,12
1601464383,0,2686853120,95,11
1601464384,0,2698870784,95,11
1601464385,0,2791911424,95,11
1601464386,0,3071172608,95,11
1601464387,0,3092123648,95,11
1601464388,0,3098734592,199,10
1601464389,0,3103653888,199,10
1601464390,0,3104227328,199,10
1601464391,0,3105988608,199,10
1601464393,0,3108216832,199,10
1601464394,0,3109191680,199,10
1601464395,0,3123150848,199,10
1601464396,0,3123912704,199,11
1601464397,0,3124207616,199,10
1601464398,0,3146723328,199,11
1601464399,0,3148283904,199,17
1601464400,0,3148591104,199,18
1601464401,0,3151581184,199,17
1601464402,0,3169263616,199,17
1601464403,0,3172061184,288,17
1601464404,0,3176026112,288,17
1601464405,0,3178307584,288,17
1601464406,0,3195879424,288,17
1601464407,0,3200413696,288,17
1601464408,0,3204677632,288,17
1601464409,0,3205763072,288,17
1601464410,0,3205832704,288,17
1601464411,0,3220430848,288,17
1601464412,0,3231936512,352,17
1601464413,0,3234148352,352,17
1601464414,0,3238207488,352,17
1601464415,0,3321057280,352,17
1601464417,0,3705171968,352,17
1601464418,0,3698245632,352,17
1601464419,0,3698298880,352,17
1601464420,0,3698802688,352,17
1601464421,0,3725967360,352,17
1601464422,0,3741429760,352,15
1601464423,0,3743334400,352,15
1601464424,0,3745308672,352,15
1601464425,0,3745984512,352,14
1601464426,0,3763802112,352,14
1601464427,0,3764695040,352,14
1601464428,0,3777617920,352,15
1601464429,0,3783725056,352,15
1601464430,0,3805777920,352,15
1601464431,0,3806490624,352,16
1601464432,0,3807174656,352,17
1601464433,0,3808632832,352,17
1601464434,0,3814461440,352,16
1601464435,0,3814797312,352,16
1601464436,0,3815190528,352,16
1601464437,0,3830091776,352,16
1601464438,0,3825201152,352,16
1601464439,0,3826675712,352,16
1601464440,0,3830001664,352,15
1601464441,0,3833786368,352,15
1601464443,0,4325044224,352,15
1601464444,0,4443734016,352,16
1601464445,0,4445163520,352,16
1601464446,0,4445429760,352,16
1601464447,0,4451696640,352,16
1601464448,0,4468396032,608,16
1601464449,0,4472680448,608,16
1601464450,0,4473909248,608,17
1601464451,0,4474740736,608,17
1601464452,0,4491382784,608,17
1601464453,0,4495151104,608,17
1601464454,0,4495286272,608,17
1601464455,0,4495597568,608,17
1601464456,0,4510318592,608,18
1601464457,0,4527304704,608,18
1601464458,0,4534788096,608,19
1601464459,0,4535930880,608,20
1601464460,0,4536655872,608,20
1601464461,0,4550680576,608,23
1601464462,0,4554137600,710,23
1601464463,0,4554350592,710,22
1601464464,0,4554932224,710,22
1601464465,0,4556013568,710,22
1601464466,0,4567662592,710,22
1601464467,0,4568522752,710,22
1601464469,0,4568920064,710,22
1601464470,0,4569419776,710,22
1601464471,0,4943347712,710,21
1601464472,0,5240811520,710,21
1601464473,0,5243371520,785,21
1601464474,0,5243641856,785,21
1601464475,0,5244043264,785,21
1601464476,0,5249286144,785,21
1601464477,0,5256552448,785,21
1601464478,0,5258579968,785,21
1601464479,0,5259026432,785,21
1601464480,0,5275676672,785,21
1601464481,0,5284298752,785,21
1601464482,0,5284921344,785,21
1601464483,0,5285212160,785,22
1601464484,0,5285314560,785,22
1601464485,0,5285588992,864,22
1601464486,0,5285670912,864,22
1601464487,0,5291835392,864,22
1601464488,0,5293322240,864,24
1601464489,0,5293805568,864,26
1601464490,0,5293961216,864,26
1601464491,0,5294456832,864,27
1601464493,0,5294473216,864,27
1601464494,0,5295423488,864,27
1601464495,0,5295775744,864,27
1601464496,0,5295886336,864,27
1601464497,0,5297180672,864,28
