Sep 30 13:12:12.148 WARN Ethereum 2.0 is pre-release. This software is experimental.
Sep 30 13:12:12.148 INFO Lighthouse started                      version: Lighthouse/v0.2.13-c0e76d2c
Sep 30 13:12:12.148 INFO Configured for testnet                  name: medalla
Sep 30 13:12:12.148 INFO Data directory initialised              datadir: /data/lighthouse
Sep 30 13:12:12.211 INFO Starting from known genesis state       service: beacon
Sep 30 13:12:12.409 INFO Block production enabled                method: json rpc via http, endpoint: http://127.0.0.1:8545
Sep 30 13:12:12.861 INFO Beacon chain initialized                head_slot: 0, head_block: 0xebe4…660c, head_state: 0xaf6a…f64e, service: beacon
Sep 30 13:12:12.861 INFO Timer service started                   service: node_timer
Sep 30 13:12:12.862 INFO Libp2p Service                          peer_id: 16Uiu2HAmACGKXUEu6KDLh5qcHsnuBpbzmfrycxFjdxSveeNHrTcd, service: libp2p
Sep 30 13:12:12.862 INFO ENR Initialised                         tcp: Some(9000), udp: None, ip: None, id: 0x473f..0fdd, seq: 1, enr: enr:-KO4QNwFtlotJ9Ab5g6aqjdpqLSTzZVio8bZ_rh7II6287BMGvGnQL6RrYynQGIIFgQKHupE1CKaKgcWRlg3_uE70soBh2F0dG5ldHOIAAAAAAAAAACEZXRoMpDnp11aAAAAAf__________gmlkgnY0iXNlY3AyNTZrMaEC23AATRi8RG8HIisKBp2LkLd3YfFUOUSFzCi1lDB_XUKDdGNwgiMo, service: libp2p
Sep 30 13:12:12.863 INFO Listening established                   address: /ip4/0.0.0.0/tcp/9000/p2p/16Uiu2HAmACGKXUEu6KDLh5qcHsnuBpbzmfrycxFjdxSveeNHrTcd, service: libp2p
Sep 30 13:12:12.863 INFO HTTP API started                        port: 5052, address: 127.0.0.1, service: http
Sep 30 13:12:26.000 WARN Low peer count                          peer_count: 1, service: slot_notifier
Sep 30 13:12:26.000 INFO Searching for peers                     current_slot: 409861, head_slot: 0, finalized_epoch: 0, finalized_root: 0x0000…0000, peers: 1, service: slot_notifier
Sep 30 13:12:38.000 WARN Low peer count                          peer_count: 1, service: slot_notifier
Sep 30 13:12:38.001 INFO Searching for peers                     current_slot: 409862, head_slot: 0, finalized_epoch: 0, finalized_root: 0x0000…0000, peers: 1, service: slot_notifier
Sep 30 13:12:45.024 INFO Sync state updated                      new_state: Syncing Finalized Chain, old_state: Stalled, service: sync
Sep 30 13:12:50.000 INFO Syncing                                 est_time: --, distance: 409863 slots (8 weeks 0 days), peers: 3, service: slot_notifier
Sep 30 13:13:02.000 INFO Syncing                                 est_time: 16 hrs 11 mins, speed: 7.03 slots/sec, distance: 409611 slots (8 weeks 0 days), peers: 2, service: slot_notifier
Sep 30 13:13:14.000 INFO Syncing                                 est_time: 10 hrs 39 mins, speed: 10.67 slots/sec, distance: 409353 slots (8 weeks 0 days), peers: 2, service: slot_notifier
Sep 30 13:13:26.000 INFO Syncing                                 est_time: 5 hrs 19 mins, speed: 21.33 slots/sec, distance: 408842 slots (8 weeks 0 days), peers: 2, service: slot_notifier
Sep 30 13:13:38.000 INFO Syncing                                 est_time: 5 hrs 19 mins, speed: 21.33 slots/sec, distance: 408843 slots (8 weeks 0 days), peers: 2, service: slot_notifier
Sep 30 13:13:50.001 INFO Syncing                                 est_time: 4 hrs 14 mins, speed: 26.73 slots/sec, distance: 408332 slots (8 weeks 0 days), peers: 4, service: slot_notifier
Sep 30 13:14:02.001 INFO Syncing                                 est_time: 4 hrs 15 mins, speed: 26.67 slots/sec, distance: 408077 slots (8 weeks 0 days), peers: 4, service: slot_notifier
Sep 30 13:14:14.001 INFO Syncing                                 est_time: 4 hrs 14 mins, speed: 26.67 slots/sec, distance: 407566 slots (8 weeks 0 days), peers: 3, service: slot_notifier
Sep 30 13:14:26.000 INFO Syncing                                 est_time: 3 hrs 1 mins, speed: 37.33 slots/sec, distance: 407055 slots (8 weeks 0 days), peers: 8, service: slot_notifier
Sep 30 13:14:38.001 INFO Syncing                                 est_time: 3 hrs 31 mins, speed: 32.00 slots/sec, distance: 406800 slots (8 weeks 0 days), peers: 9, service: slot_notifier
Sep 30 13:14:50.001 INFO Syncing                                 est_time: 3 hrs 1 mins, speed: 37.33 slots/sec, distance: 406289 slots (8 weeks 0 days), peers: 7, service: slot_notifier
Sep 30 13:15:02.001 INFO Syncing                                 est_time: 3 hrs 31 mins, speed: 32.00 slots/sec, distance: 406034 slots (8 weeks 0 days), peers: 8, service: slot_notifier
Sep 30 13:15:14.000 INFO Syncing                                 est_time: 3 hrs 31 mins, speed: 32.00 slots/sec, distance: 405523 slots (8 weeks 0 days), peers: 8, service: slot_notifier
Sep 30 13:15:26.001 INFO Syncing                                 est_time: 3 hrs 0 mins, speed: 37.33 slots/sec, distance: 405012 slots (8 weeks 0 days), peers: 8, service: slot_notifier
Sep 30 13:15:38.000 INFO Syncing                                 est_time: 3 hrs 30 mins, speed: 32.00 slots/sec, distance: 404757 slots (8 weeks 0 days), peers: 6, service: slot_notifier
Sep 30 13:15:50.000 INFO Syncing                                 est_time: 3 hrs 0 mins, speed: 37.33 slots/sec, distance: 404246 slots (8 weeks 0 days), peers: 7, service: slot_notifier
Sep 30 13:16:02.000 INFO Syncing                                 est_time: 3 hrs 30 mins, speed: 32.00 slots/sec, distance: 403991 slots (8 weeks 0 days), peers: 7, service: slot_notifier
Sep 30 13:16:14.000 INFO Syncing                                 est_time: 4 hrs 12 mins, speed: 26.65 slots/sec, distance: 403737 slots (8 weeks 0 days), peers: 6, service: slot_notifier
Sep 30 13:16:26.001 INFO Syncing                                 est_time: 3 hrs 30 mins, speed: 31.98 slots/sec, distance: 403226 slots (8 weeks 0 days), peers: 6, service: slot_notifier
Sep 30 13:16:38.000 INFO Syncing                                 est_time: 4 hrs 11 mins, speed: 26.67 slots/sec, distance: 402970 slots (7 weeks 6 days), peers: 6, service: slot_notifier
Sep 30 13:16:50.000 INFO Syncing                                 est_time: 3 hrs 29 mins, speed: 32.00 slots/sec, distance: 402459 slots (7 weeks 6 days), peers: 9, service: slot_notifier
Sep 30 13:17:02.000 INFO Syncing                                 est_time: 3 hrs 29 mins, speed: 32.00 slots/sec, distance: 402205 slots (7 weeks 6 days), peers: 12, service: slot_notifier
Sep 30 13:17:14.001 INFO Syncing                                 est_time: 4 hrs 11 mins, speed: 26.69 slots/sec, distance: 401949 slots (7 weeks 6 days), peers: 12, service: slot_notifier
Sep 30 13:17:26.000 INFO Syncing                                 est_time: 4 hrs 11 mins, speed: 26.67 slots/sec, distance: 401694 slots (7 weeks 6 days), peers: 11, service: slot_notifier
Sep 30 13:17:34.481 INFO Imported deposit log(s)                 new: 77576, total: 77509, latest_block: 3491768, service: eth1_rpc
Sep 30 13:17:38.000 INFO Syncing                                 est_time: 5 hrs 14 mins, speed: 21.29 slots/sec, distance: 401441 slots (7 weeks 6 days), peers: 16, service: slot_notifier
Sep 30 13:17:50.000 INFO Syncing                                 est_time: 4 hrs 10 mins, speed: 26.69 slots/sec, distance: 400928 slots (7 weeks 6 days), peers: 18, service: slot_notifier
Sep 30 13:18:02.001 INFO Syncing                                 est_time: 4 hrs 10 mins, speed: 26.67 slots/sec, distance: 400673 slots (7 weeks 6 days), peers: 20, service: slot_notifier
Sep 30 13:18:14.000 INFO Syncing                                 est_time: 5 hrs 13 mins, speed: 21.33 slots/sec, distance: 400674 slots (7 weeks 6 days), peers: 20, service: slot_notifier
Sep 30 13:18:26.000 INFO Syncing                                 est_time: 5 hrs 12 mins, speed: 21.38 slots/sec, distance: 400419 slots (7 weeks 6 days), peers: 19, service: slot_notifier
Sep 30 13:18:38.000 INFO Syncing                                 est_time: 5 hrs 12 mins, speed: 21.33 slots/sec, distance: 399908 slots (7 weeks 6 days), peers: 19, service: slot_notifier
Sep 30 13:18:50.000 INFO Syncing                                 est_time: 4 hrs 9 mins, speed: 26.67 slots/sec, distance: 399397 slots (7 weeks 6 days), peers: 22, service: slot_notifier
Sep 30 13:19:02.000 INFO Syncing                                 est_time: 3 hrs 27 mins, speed: 32.00 slots/sec, distance: 399142 slots (7 weeks 6 days), peers: 22, service: slot_notifier
Sep 30 13:19:14.000 INFO Syncing                                 est_time: 3 hrs 27 mins, speed: 32.00 slots/sec, distance: 398887 slots (7 weeks 6 days), peers: 23, service: slot_notifier
Sep 30 13:19:26.001 INFO Syncing                                 est_time: 4 hrs 9 mins, speed: 26.67 slots/sec, distance: 398632 slots (7 weeks 6 days), peers: 21, service: slot_notifier
Sep 30 13:19:38.000 INFO Syncing                                 est_time: 5 hrs 32 mins, speed: 20.00 slots/sec, distance: 398441 slots (7 weeks 6 days), peers: 23, service: slot_notifier
Sep 30 13:19:50.000 INFO Syncing                                 est_time: 5 hrs 31 mins, speed: 20.00 slots/sec, distance: 398186 slots (7 weeks 6 days), peers: 25, service: slot_notifier
Sep 30 13:20:02.001 INFO Syncing                                 est_time: 4 hrs 21 mins, speed: 25.33 slots/sec, distance: 397675 slots (7 weeks 6 days), peers: 27, service: slot_notifier
